XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,SBIL,SBILErr,Leading,,,
1_2,XY,3,295.1977896,0.415973098,6.504826353,0.009992411,1,,,
1_2,XY,4,289.6132907,0.500351987,5.907566639,0.011521051,0,,,
1_2,XY,5,289.9428417,0.364854084,6.392580039,0.009345514,0,,,
1_2,XY,6,290.1413311,0.421314784,5.85264416,0.009954561,0,,,
1_2,XY,7,289.8702223,0.41151126,6.625312624,0.01082195,0,,,
1_2,XY,8,289.9791221,0.433238306,6.053252027,0.00990521,0,,,
1_2,XY,9,290.2299999,0.437287144,6.170734392,0.010593359,0,,,
1_2,XY,10,289.0613126,0.448079239,5.800462311,0.010311994,0,,,
1_2,XY,11,290.7040571,0.524038389,6.028769248,0.012290512,0,,,
1_2,XY,12,289.6344664,0.486859728,5.601176525,0.011123542,0,,,
1_2,XY,46,298.1602257,0.343837184,8.781925373,0.011705082,1,,,
1_2,XY,47,293.1814859,0.411359867,9.406261545,0.015460586,0,,,
1_2,XY,48,291.5392981,0.305316009,8.82869598,0.010814398,0,,,
1_2,XY,49,290.4801665,0.413934419,9.257211835,0.015440496,0,,,
1_2,XY,50,289.4121706,0.319259669,8.671884164,0.01117278,0,,,
1_2,XY,51,291.9448525,0.347404426,8.730557135,0.012281178,0,,,
1_2,XY,52,288.4200869,0.405395404,8.164045923,0.013657175,0,,,
1_2,XY,53,290.9899661,0.388265255,8.977780324,0.013850586,0,,,
1_2,XY,58,300.3882319,0.322340942,8.950066249,0.011329719,1,,,
1_2,XY,59,291.2605681,0.342867225,9.28405346,0.012874702,0,,,
1_2,XY,60,289.7410484,0.386528098,8.398983105,0.013160288,0,,,
1_2,XY,61,289.5760277,0.290423971,8.61005522,0.010183978,0,,,
1_2,XY,62,292.6813958,0.406443828,8.555321492,0.014042968,0,,,
1_2,XY,63,288.2674892,0.290188035,8.24638562,0.009667067,0,,,
1_2,XY,64,289.8501854,0.358702845,7.712353406,0.011319037,0,,,
1_2,XY,65,290.3717841,0.41592275,7.991483617,0.013483653,0,,,
1_2,XY,70,295.761894,0.450335063,7.989276578,0.013938135,1,,,
1_2,XY,71,291.171312,0.327575012,8.233299616,0.010493262,0,,,
1_2,XY,72,289.4988238,0.379521861,7.682415612,0.011482671,0,,,
1_2,XY,73,290.7024524,0.40332045,7.75577204,0.012454999,0,,,0.745551121
1_2,XY,74,289.9659995,0.375518088,8.564439546,0.0129543,0,,,
1_2,XY,75,288.9106212,0.363644066,8.045764285,0.011793556,0,,,
1_2,XY,76,289.8261462,0.363900785,7.690395399,0.011141718,0,,,
1_2,XY,77,288.9667903,0.435331635,8.132319043,0.014539196,0,,,
1_2,XY,82,300.7391554,0.375370748,8.758172556,0.013276757,1,,,
1_2,XY,83,293.9458323,0.406740158,9.128868284,0.015069524,0,,,
1_2,XY,84,289.3820564,0.436989917,8.401639123,0.014294021,0,,,
1_2,XY,85,289.8371483,0.360848052,8.443236583,0.012622921,0,,,
1_2,XY,86,288.3788812,0.397295514,8.130144595,0.012972135,0,,,
1_2,XY,87,287.4089979,0.386373618,7.84395857,0.012122795,0,,,
1_2,XY,88,288.4207207,0.366999766,7.257371588,0.010486634,0,,,
1_2,XY,89,291.0982255,0.529128861,7.458371582,0.015604001,0,,,
1_2,XY,121,300.7617954,0.299646929,8.889664156,0.01062601,1,,,
1_2,XY,122,293.9040923,0.315134592,9.365300111,0.011719073,0,,,
1_2,XY,123,291.5373193,0.333669613,9.451633201,0.012352377,0,,,
1_2,XY,124,291.8880716,0.386051784,10.00948288,0.015755902,0,,,
1_2,XY,125,289.447948,0.393448962,8.166640245,0.012831946,0,,,
1_2,XY,126,290.1259546,0.320102033,8.572239054,0.011018824,0,,,
1_2,XY,127,289.9357196,0.394771031,8.207153696,0.013070756,0,,,
1_2,XY,128,292.0051293,0.306054075,9.045744738,0.010791071,0,,,
1_2,XY,133,299.0448448,0.317220218,8.753040967,0.010697456,1,,,
1_2,XY,134,293.2186778,0.308846471,9.082050162,0.011291569,0,,,
1_2,XY,135,289.628998,0.416440077,8.596560486,0.014500027,0,,,
1_2,XY,136,293.4523747,0.296321338,8.712038422,0.01095309,0,,,
1_2,XY,137,289.4400424,0.380381934,8.429287152,0.012731606,0,,,
1_2,XY,138,288.150194,0.384422856,8.115344051,0.013086143,0,,,
1_2,XY,139,289.0119975,0.383897968,8.133848773,0.01226532,0,,,
1_2,XY,140,289.9346343,0.339679208,8.540681294,0.011764297,0,,,
1_2,XY,145,294.760323,0.484789797,7.628505289,0.014915905,1,,,
1_2,XY,146,291.0467434,0.387810509,8.247959544,0.01312127,0,,,
1_2,XY,147,287.7602886,0.368900557,7.902666531,0.011672509,0,,,
1_2,XY,148,290.9049345,0.391249291,8.126798128,0.012621165,0,,,
1_2,XY,149,290.3107366,0.465296208,8.06685791,0.014933298,0,,,
1_2,XY,150,288.9236927,0.390092794,7.83346775,0.012302772,0,,,
1_2,XY,151,291.0367569,0.411091462,7.922878079,0.012928794,0,,,
