XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,SBIL,SBILErr,Leading
1_2,XY,3,297.1758037,0.561476788,3.422336805,0.007071651,1
1_2,XY,4,294.1495528,0.619986191,3.216089112,0.007747271,0
1_2,XY,5,294.2754155,0.666293509,3.386082538,0.008800308,0
1_2,XY,6,294.3835804,0.525423842,3.188666655,0.006436354,0
1_2,XY,7,294.0987261,0.568936741,3.400276331,0.007607117,0
1_2,XY,8,294.2880754,0.497844023,3.215033224,0.006556902,0
1_2,XY,9,293.9667292,0.697952269,3.244936791,0.008356429,0
1_2,XY,10,293.6012354,0.529908704,3.118828525,0.006381351,0
1_2,XY,11,295.0667022,0.567857568,3.212520318,0.007211842,0
1_2,XY,12,294.1250194,0.587184394,3.05884346,0.00712267,0
1_2,XY,46,294.0023486,0.532928266,3.423507649,0.006951597,1
1_2,XY,47,290.9099257,0.544457184,3.621246986,0.008192958,0
1_2,XY,48,291.4183032,0.49962009,3.38534589,0.006817259,0
1_2,XY,49,293.7561425,0.689540074,3.436163895,0.009339724,0
1_2,XY,50,294.5419085,0.507428096,3.307828152,0.006528042,0
1_2,XY,51,291.1186592,0.577246596,3.393457044,0.007711603,0
1_2,XY,52,292.2918238,0.677813797,3.225031295,0.0083969,0
1_2,XY,53,291.7235402,0.52143691,3.470203628,0.007066273,0
1_2,XY,58,295.1324269,0.529310414,3.43520646,0.0070179,1
1_2,XY,59,292.3978231,0.54582115,3.480454511,0.007620363,0
1_2,XY,60,291.6568641,0.631732567,3.270297563,0.008025285,0
1_2,XY,61,294.0361107,0.649501518,3.286345918,0.008435101,0
1_2,XY,62,293.2099875,0.482355168,3.348459835,0.006490645,0
1_2,XY,63,292.4059513,0.556256641,3.256025671,0.007058524,0
1_2,XY,64,292.713529,0.557401833,3.116189954,0.006809098,0
1_2,XY,65,293.3065071,0.593366547,3.193421378,0.007538385,0
1_2,XY,70,294.3449437,0.628911064,3.099391344,0.00770597,1
1_2,XY,71,292.9791771,0.627977977,3.148412168,0.007969312,0
1_2,XY,72,291.4335067,0.64117643,3.016709877,0.007697186,0
1_2,XY,73,291.9994624,0.447885304,3.037843239,0.005545593,0
1_2,XY,74,292.3135611,0.488939141,3.308873248,0.006046338,0
1_2,XY,75,291.7697093,0.698934682,3.178992473,0.008993268,0
1_2,XY,76,292.4329013,0.646055506,3.097084842,0.007762836,0
1_2,XY,77,292.8970119,0.512188245,3.223405026,0.006235137,0
1_2,XY,82,294.7143754,0.600325911,3.511264257,0.008240122,1
1_2,XY,83,290.9034446,0.477749336,3.551380523,0.006635544,0
1_2,XY,84,292.5671846,0.495784822,3.3273775,0.006464927,0
1_2,XY,85,291.7454658,0.525257392,3.337376525,0.007076223,0
1_2,XY,86,292.7117689,0.632395044,3.313916635,0.008500612,0
1_2,XY,87,291.8749686,0.51229669,3.215276434,0.006284794,0
1_2,XY,88,292.9336818,0.618099294,3.05540909,0.007479592,0
1_2,XY,89,292.9293318,0.555453133,3.154617505,0.006773912,0
1_2,XY,121,294.9732707,0.5972534,3.381791413,0.008027707,1
1_2,XY,122,292.3185771,0.628088597,3.511311321,0.00865636,0
1_2,XY,123,290.9993145,0.632969071,3.558053607,0.009004329,0
1_2,XY,124,293.1656779,0.467734156,3.682147975,0.007052168,0
1_2,XY,125,292.3135887,0.548386339,3.212179116,0.006884741,0
1_2,XY,126,291.7153749,0.610582613,3.320783124,0.008483175,0
1_2,XY,127,292.4244291,0.547594847,3.229048693,0.006669964,0
1_2,XY,128,292.5611594,0.633574995,3.4675261,0.008523502,0
1_2,XY,133,294.1125352,0.573335463,3.34815742,0.007513787,1
