,scandir,fill,ilumi,dLumi,run1,ncol,hfoccsx,hfoccsxrms,hfoccsy,hfoccsyrms,hfocfom,hfocfomrms,wt,,,hfocsbil,hfocsbilrms,hfetcsx,hfetcsxrms,hfetcsy,hfetcsyrms,hfetfom,hfetfomrms,hfetsbil,hfetsbilrms,plt_1csx,plt_1csxrms,plt_1csy,plt_1csyrms,plt_1fom,plt_1fomrms,Fit,Fit Residual,plt_1sbil,plt_1sbilrms,plt_2csx,plt_2csxrms,plt_2csy,plt_2csyrms,plt_2fom,plt_2fomrms,plt_2sbil,plt_2sbilrms,plt_4csx,plt_4csxrms,plt_4csy,plt_4csyrms,plt_4fom,plt_4fomrms,plt_4sbil,plt_4sbilrms,plt_5csx,plt_5csxrms,plt_5csy,plt_5csyrms,plt_5fom,plt_5fomrms,plt_5sbil,plt_5sbilrms,plt_6csx,plt_6csxrms,plt_6csy,plt_6csyrms,plt_6fom,plt_6fomrms,plt_6sbil,plt_6sbilrms,plt_7csx,plt_7csxrms,plt_7csy,plt_7csyrms,plt_7fom,plt_7fomrms,plt_7sbil,plt_7sbilrms,plt_8csx,plt_8csxrms,plt_8csy,plt_8csyrms,plt_8fom,plt_8fomrms,plt_8sbil,plt_8sbilrms,plt_9csx,plt_9csxrms,plt_9csy,plt_9csyrms,plt_9fom,plt_9fomrms,plt_9sbil,plt_9sbilrms,plt_10csx,plt_10csxrms,plt_10csy,plt_10csyrms,plt_10fom,plt_10fomrms,plt_10sbil,plt_10sbilrms,plt_11csx,plt_11csxrms,plt_11csy,plt_11csyrms,plt_11fom,plt_11fomrms,plt_11sbil,plt_11sbilrms,plt_12csx,plt_12csxrms,plt_12csy,plt_12csyrms,plt_12fom,plt_12fomrms,plt_12sbil,plt_12sbilrms,plt_13csx,plt_13csxrms,plt_13csy,plt_13csyrms,plt_13fom,plt_13fomrms,plt_13sbil,plt_13sbilrms,plt_14csx,plt_14csxrms,plt_14csy,plt_14csyrms,plt_14fom,plt_14fomrms,plt_14sbil,plt_14sbilrms,plt_15csx,plt_15csxrms,plt_15csy,plt_15csyrms,plt_15fom,plt_15fomrms,plt_15sbil,plt_15sbilrms,pltcsx,pltcsxrms,pltcsy,pltcsyrms,pltfom,pltfomrms,pltsbil,pltsbilrms,sicsx,sicsxrms,sicsy,sicsyrms,sifom,sifomrms,,sisbil,sisbilrms,,,,,,,,CSX PLT-HFOC
5737_03Jun17_072756_03Jun17_073002,5737_03Jun17_072756_03Jun17_073002,5737,46.56,0,295952,303,0.022129,0.000208,0.015428,0.000423,0.99774,0.010033,9934.325268,0.036345519,,5.684,0.299,0.022143,0.000203,0.015439,0.000402,1.035658,0.014053,5.688,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022241,0.000218,0.015808,0.000449,0.977944,0.017862,5.516,0.301,,,,,,,,,,,0.022136,9.89949E-06,2,,,,0.004406277
5746_05Jun17_115448_05Jun17_115652,5746_05Jun17_115448_05Jun17_115652,5746,46.567,0.007,296069,589,0.021654,0.000151,0.016349,0.000354,1.018007,0.008896,12636.02427,6.216177493,,3.134,0.138,0.021726,0.000148,0.016394,0.000368,1.055985,0.01626,3.118,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021673,0.000159,0.01657,0.000425,0.98776,0.004645,3.089,0.13,,,,,,,,,,,0.02169,5.09117E-05,2,,,,-0.002445439
5746_05Jun17_015535_05Jun17_015740,5746_05Jun17_015535_05Jun17_015740,5746,46.567,0.007,296069,589,0.021926,0.000243,0.016453,0.000616,1.025773,0.012031,6908.703371,6.195361962,,5.382,0.235,0.021988,0.000273,0.016299,0.000584,1.057844,0.016662,5.417,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022029,0.000276,0.016852,0.000698,1.003143,0.011573,5.232,0.235,,,,,,,,,,,0.021957,4.38406E-05,2,,,,0.001861183
5749_05Jun17_231809_05Jun17_232015,5749_05Jun17_231809_05Jun17_232015,5749,46.662,0.102,296167,589,0.022345,0.00028,0.016561,0.00059,1.023645,0.012612,6286.835196,4.864921149,,5.253,0.248,0.022334,0.000287,0.016456,0.000562,1.05297,0.016635,5.292,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022474,0.000292,0.016929,0.000656,0.998884,0.011225,5.109,0.253,,,,,,,,,,,0.0223395,7.77817E-06,2,,,,0.006229421
5750_06Jun17_030238_06Jun17_030443,5750_06Jun17_030238_06Jun17_030443,5750,46.666,0.106,296172,589,0.022802,0.000324,0.017164,0.000663,1.023122,0.01188,7085.444796,5.278676963,,5.006,0.273,0.02283,0.000336,0.016982,0.000637,1.050833,0.016893,5.056,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022923,0.000358,0.017486,0.000722,0.998665,0.009742,4.893,0.27,,,,,,,,,,,0.022816,1.9799E-05,2,,,,0.004057061
5824_12Jun17_223835_12Jun17_224042,5824_12Jun17_223835_12Jun17_224042,5824,46.723,0.163,296663,589,0.021332,0.000224,0.016231,0.0003,1.054639,0.016846,3523.760697,12.18805722,,5.884,0.294,0.02133,0.000202,0.016164,0.000302,1.053304,0.015333,5.908,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021334,0.000215,0.016318,0.000327,0.99467,0.004033,5.852,0.296,,,,,,,,,,,0.021331,1.41421E-06,2,,,,0.000187494
5824_12Jun17_194348_12Jun17_194554,5824_12Jun17_194348_12Jun17_194554,5824,46.723,0.163,296663,589,0.021994,0.000206,0.016187,0.000354,1.058879,0.018752,2843.837727,11.3057397,,7.086,0.371,0.021975,0.00022,0.016065,0.000351,1.058023,0.016547,7.142,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022048,0.000217,0.016285,0.000386,0.9992,0.004909,7.027,0.374,,,,,,,,,,,0.0219845,1.3435E-05,2,,,,0.003310958
5825_13Jun17_015938_13Jun17_020145,5825_13Jun17_015938_13Jun17_020145,5825,46.774,0.214,296702,973,0.022072,0.000202,0.016447,0.000385,,,,,,7.235,0.355,0.02203,0.000209,0.016268,0.000375,1.053446,0.016299,7.327,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022125,,0.01657,,0.993775,,7.17,,,,,,,,,,,,0.022051,2.96985E-05,2,,,,0.004293785
5830_14Jun17_083135_14Jun17_083342,5830_14Jun17_083135_14Jun17_083342,5830,46.791,0.231,296786,973,0.021303,0.000289,0.015549,0.00043,1.023446,0.014046,5068.677642,3.866361325,,6.974,0.401,0.021418,0.000297,0.015533,0.000442,0.994526,0.009827,6.943,0.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021384,0.0003,0.015705,0.000459,0.98479,0.005933,6.89,0.401,,,,,,,,,,,0.0213605,8.13173E-05,2,,,,-0.001589974
5830_14Jun17_152520_14Jun17_152727,5830_14Jun17_152520_14Jun17_152727,5830,46.791,0.231,296786,973,0.020779,0.00017,0.016451,0.00028,1.026995,0.010896,8422.980803,8.18232025,,4.273,0.239,0.020891,0.000184,0.016557,0.000294,0.998059,0.008308,4.224,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020758,0.000169,0.016501,0.00029,0.988828,0.003921,4.266,0.24,,,,,,,,,,,0.020835,7.9196E-05,2,,,,-0.006407168
