Fill,ILumi,Run1,NBC,LEad,Train,ScanPoints,LeadSlope,Err,Int,TrainSlope,Err,Int
6583,91.011,314810,62,7,55,9,1.79,0.12,1.047,1.45,0.13,1.058
6583,91.011,314810,62,7,55,9,1.75,0.11,1.048,1.42,0.13,1.059
6583,91.011,314810,62,7,55,9,1.78,0.07,1.046,1.42,0.16,1.059
6584,91.017,314816,62,7,55,9,1.77,0.05,1.044,1.43,0.11,1.057
6584,91.017,314816,62,7,55,9,1.83,0.1,1.044,1.43,0.12,1.058
6594,91.027,314859,326,29,297,9,1.83,0.04,1.039,1.54,0.12,1.054
6594,91.027,314859,326,29,297,9,1.83,0.12,1.042,1.53,0.14,1.056
6595,91.09,314890,326,29,297,9,1.81,0.05,1.039,1.55,0.12,1.053
6611,91.129,315104,302,8,294,9,1.86,0.1,1.036,1.38,0.16,1.053
6612,91.192,315150,590,15,575,9,1.83,0.08,1.043,1.34,0.23,1.062
6612,91.192,315150,590,15,575,9,1.85,0.08,1.038,1.41,0.16,1.051
6613,91.308,315179,590,15,575,9,1.87,0.07,1.038,1.4,0.15,1.051
6614,91.315,315187,590,15,575,9,1.83,0.04,1.039,1.15,0.17,1.06
6615,91.397,315242,590,14,576,8,1.82,0.1,1.036,1.38,0.15,1.049
6615,91.397,315242,590,14,576,9,1.78,0.14,1.037,1.42,0.14,1.049
6616,91.475,315264,974,22,952,9,1.82,0.1,1.033,1.41,0.14,1.05
6616,91.475,315264,974,22,952,9,1.83,0.19,1.032,1.45,0.16,1.047
6617,91.656,315322,974,22,952,9,1.75,0.08,1.034,1.43,0.13,1.049
6617,91.656,315322,974,22,952,9,1.77,0.16,1.03,1.44,0.14,1.045
6618,91.838,315339,974,22,952,9,1.8,0.13,1.032,1.44,0.14,1.046
6618,91.838,315339,974,22,952,9,1.79,0.11,1.03,1.48,0.14,1.045
6620,91.933,315357,1214,28,1186,9,1.78,0.1,1.03,1.45,0.14,1.046
6621,92.088,315361,1214,28,1186,9,1.78,0.12,1.029,1.47,0.14,1.044
6621,92.088,315361,1214,28,1186,9,1.83,0.21,1.028,1.45,0.17,1.043
6624,92.353,315420,1214,28,1186,9,1.78,0.11,1.028,1.45,0.13,1.043
6624,92.353,315420,1214,28,1186,9,1.81,0.22,1.025,1.46,0.18,1.04
6628,92.614,315488,1538,34,1504,9,1.85,0.29,1.022,1.5,0.19,1.038
6628,92.614,315488,1538,34,1504,6,1.83,0.14,1.025,1.55,0.14,1.038
6629,92.968,315506,1874,41,1833,8,1.86,0.13,1.025,1.56,0.14,1.04
6633,93.36,315543,1874,41,1833,9,1.85,0.14,1.023,1.55,0.14,1.038
6636,93.398,315555,1874,41,1833,9,1.84,0.12,1.024,1.56,0.14,1.038
6638,93.522,315640,2162,47,2115,9,1.88,0.14,1.02,1.6,0.14,1.035
6638,93.522,315640,2162,47,2115,9,1.84,0.67,1.015,1.51,0.27,1.031
6639,94.032,315689,2306,50,2256,9,1.94,0.13,1.02,1.6,0.14,1.036
6639,94.032,315689,2306,50,2256,9,1.91,0.45,1.023,1.48,0.28,1.039
6640,94.492,315702,2447,51,2396,9,1.91,1.58,1.024,1.51,0.36,1.039
6641,94.824,315713,2448,51,2397,9,1.9,0.16,1.024,1.59,0.13,1.04
6642,95.189,315721,2448,51,2397,9,1.91,0.15,1.022,1.61,0.14,1.037
6643,95.404,315741,2511,53,2458,9,1.95,0.13,1.019,1.65,0.14,1.034
6645,95.429,315764,2511,53,2458,9,1.95,0.14,1.019,1.65,0.14,1.034
6646,95.546,315770,2511,53,2458,9,1.95,0.13,1.018,1.64,0.13,1.033
6648,95.67,315784,2511,53,2458,9,0.7,0.52,1.081,1.66,0.15,1.029
6650,96.19,315800,2511,53,2458,9,1.98,0.16,1.01,1.67,0.13,1.025
6654,96.508,315840,2511,53,2458,9,1.92,0.12,1.01,1.68,0.13,1.023
6654,96.508,315840,2511,53,2458,9,1.94,0.21,1.006,1.66,0.18,1.021
6659,96.862,315973,2511,53,2458,9,1.95,0.14,1.009,1.69,0.13,1.023
6662,97.167,316058,2511,53,2458,9,1.96,0.13,1.008,1.7,0.13,1.023
6662,97.167,316058,2511,53,2458,9,1.88,0.35,1.005,1.63,0.28,1.02
6663,97.69,316082,2511,53,2458,9,1.92,0.16,1.005,1.72,0.13,1.02
6666,97.832,316109,2511,53,2458,9,2,0.12,1.004,1.74,0.13,1.018
6666,97.832,316109,2511,53,2458,9,1.93,1.14,0.999,1.62,0.32,1.018
6672,98.333,316151,2511,53,2458,9,1.98,0.15,1.005,1.74,0.13,1.018
6674,98.593,316186,2511,53,2458,9,1.96,0.15,1.002,1.75,0.13,1.015
6719,105.442,316876,2511,53,2458,9,1.93,0.12,0.99,1.78,0.13,1.005
6724,105.833,316928,2511,53,2458,9,1.98,0.17,0.991,1.81,0.15,1.005
6729,105.878,316944,2511,53,2458,9,1.98,0.16,0.987,1.83,0.13,1.001
6729,105.878,316944,2511,53,2458,9,1.95,0.32,0.986,1.76,0.24,1.001
6731,106.373,316985,2511,53,2458,9,1.98,0.16,0.984,1.83,0.13,0.999
6733,106.545,316993,2511,53,2458,9,1.97,0.15,0.983,1.84,0.14,0.997
6737,106.818,317080,2511,53,2458,9,1.96,0.14,0.981,1.84,0.13,0.996
6738,106.827,317087,2511,53,2458,9,1.97,0.16,0.981,1.82,0.13,0.996
6738,106.827,317087,2511,53,2458,9,1.98,0.16,0.98,1.85,0.14,0.995
6738,106.827,317087,2511,53,2458,9,2.01,0.36,0.979,1.75,0.25,0.997
6741,107.324,317182,2511,53,2458,9,1.98,0.16,0.982,1.84,0.14,0.996
6741,107.324,317182,2511,53,2458,9,2.05,0.28,0.974,1.81,0.21,0.99
6744,107.732,317212,2511,53,2458,9,2,0.16,0.978,1.87,0.14,0.991
6747,107.913,317279,974,22,952,9,1.74,0.14,0.973,1.7,0.13,0.987
6747,107.913,317279,974,22,952,9,1.75,0.17,0.973,1.73,0.14,0.986
6749,107.981,317291,2511,53,2458,9,1.93,0.16,0.975,1.86,0.14,0.99
6749,107.981,317291,2511,53,2458,9,2.02,0.53,0.968,1.77,0.37,0.985
6751,108.523,317319,2511,53,2458,9,2,0.16,0.971,1.87,0.14,0.986
6751,108.523,317319,2511,53,2458,9,1.98,0.63,0.967,1.77,0.35,0.982
6752,109.041,317338,2511,53,2458,9,1.96,0.16,0.969,1.86,0.13,0.983
6755,109.276,317382,2511,53,2458,9,1.95,0.17,0.97,1.88,0.14,0.984
6757,109.331,317391,2511,53,2458,9,1.98,0.17,0.969,1.89,0.14,0.983
6759,109.831,317434,2511,53,2458,9,2,0.15,0.964,1.89,0.14,0.978
6759,109.831,317434,2511,53,2458,9,1.98,0.63,0.968,1.75,0.36,0.985
6761,110.332,317475,2511,53,2458,9,2,0.19,0.965,1.83,0.14,0.981
6761,110.332,317475,2511,53,2458,9,2.02,0.38,0.958,1.83,0.27,0.974
6762,110.771,317509,2511,53,2458,9,1.98,0.19,0.964,1.84,0.15,0.979
6763,111.13,317527,2511,53,2458,9,2.01,0.17,0.96,1.85,0.14,0.977
6768,111.579,317591,2511,53,2458,9,1.98,0.17,0.976,1.84,0.14,0.992
6770,111.691,317626,2530,53,2477,9,1.99,0.18,0.974,1.85,0.14,0.989
6770,111.691,317626,2530,53,2477,9,2.01,1.16,0.971,1.76,0.39,0.99
6772,112.218,317640,2530,53,2477,9,1.95,0.22,0.974,1.85,0.14,0.989
6772,112.218,317640,2530,53,2477,9,2.03,1.43,0.967,1.77,0.65,0.985
6773,112.748,317648,2530,53,2477,9,1.98,0.16,1.007,1.73,0.14,1.023
6773,112.748,317648,2530,53,2477,9,1.99,1.09,0.997,1.61,0.38,1.017
6774,113.235,317661,2530,53,2477,9,1.98,0.17,1,1.74,0.15,1.016
6774,113.235,317661,2530,53,2477,9,1.22,2.34,1.022,0.76,1.1,1.045
6843,114.129,318622,2,1,1,9,1.76,0,1.002,1.84,0,1.001
6850,114.146,318712,590,15,575,9,1.89,0.08,0.997,1.73,0.17,1.013
6854,114.192,318816,1214,28,1186,9,1.82,0.14,0.995,1.84,0.14,1.013
