Fill,nbx,lumi,iLumi,run1,slope,err,,,,,
4925,589,33.055,4.387,273425,-0.014690363,0.006626419,group1,-0.002524481,,,
4926,877,114.647,4.420,273443,0.00400295,0.000975277,group1,-0.002533492,,,
4930,877,35.704,4.534,273492,-0.063881562,0.017562044,group1,-0.002564745,,,
4935,877,81.251,4.570,273502,0.006774914,0.002018242,group1,-0.002574478,,,
4942,1165,44.792,4.651,273554,0.001152184,0.001859114,group1,-0.002596633,,,
4947,1165,300.674,4.696,273725,-0.012909519,0.00077766,group1,-0.00260886,,,
4958,1453,119.177,5.018,274157,0.003501574,0.001507363,group1,-0.002696615,,,
4961,1740,162.741,5.149,274198,-0.000821516,0.001790373,group1,-0.00273243,,,
4964,1740,222.555,5.312,274239,-0.022171702,0.001573919,group1,-0.002776793,,,
4965,1812,177.967,5.535,274249,0.029261031,0.001993857,group1,-0.002837462,,,
4976,1812,67.327,5.713,274282,-0.001079911,0.002134059,group1,-0.002885976,,,
4979,2028,279.647,5.780,274314,-0.00389517,0.000995967,group1,-0.002904329,,,
4980,2028,392.553,6.060,274335,-0.003178087,0.000151659,group1,-0.002980561,,,
4985,2028,343.277,6.464,274387,-0.004157097,0.000280723,group1,-0.00309082,,,
4988,2028,389.908,6.807,274420,-0.006224108,0.001322087,group1,-0.003184397,,,
4990,2028,281.023,7.197,274440,-0.002858851,0.000639613,group1,-0.003290686,,,
5013,2028,483.232,7.534,274966,-0.000561225,0.0002574,group1,-0.003382383,,,
5017,2028,536.749,8.017,274998,0.001158701,0.00032684,group1,-0.003514112,,,
5020,2028,453.91,8.554,275059,-0.001859237,0.000488315,group1,-0.00366043,,,
5021,2028,230.623,9.008,275124,-0.006237047,0.000977176,group1,-0.003784165,,,
5024,2028,222.668,9.238,275282,-0.006388282,0.002291401,group1,-0.003847033,,,
5026,2028,442.804,9.461,275309,-0.008200359,0.000187169,group1,-0.003907733,,,
5027,2028,229.606,9.904,275319,-0.000819676,0.001463659,group1,-0.004028441,,,
5028,2028,122.584,10.133,275344,-0.004387895,0.000756326,group1,-0.004091032,,,
5029,2028,163.679,10.256,275370,-0.014188845,0.003922406,group1,-0.004124448,,,
5030,2028,576.306,10.420,275375,-0.003921791,0.000184833,group1,-0.004169067,,,
5038,1884,99.759,10.996,275656,-0.003373893,0.000912273,group1,-0.004326168,,,
5043,2064,608.062,11.096,275757,-0.005097069,0.000664147,group1,-0.004353362,,,
5045,2064,784.297,11.704,275828,-0.003650366,0.000125839,group1,-0.00451912,,,
5048,2064,281.257,12.488,275886,0.000135247,0.000303576,group1,-0.004732919,,,
5052,2064,396.781,12.769,275911,-0.001396205,0.000484971,group1,-0.00480959,,,
5060,2064,139.422,13.255,276092,-0.007412208,0.001135475,group1,-0.004942005,,,
5069,2064,618.341,13.525,276224,-0.006962028,0.000105715,group1,-0.005015637,,,
5071,2064,401.002,14.143,276282,-0.004338638,0.000387552,group1,-0.005184197,,,
5072,2064,194.412,14.544,276315,-0.002086921,0.001100575,group1,-0.00529351,,,
5073,2064,554.395,14.739,276349,-0.006251076,0.000901583,group1,-0.005346506,,,
5076,2064,606.026,15.293,276437,0.001141056,0.000760072,group1,-0.005497634,,,
5078,2064,586.547,15.899,276495,-0.101931135,0.009697053,group1,-0.005662837,,,
5080,2064,497.732,16.486,276525,-0.006421961,0.000279966,group1,-0.00582273,,,
5083,2064,375.404,16.984,276542,-0.004980116,0.000186577,group1,-0.005958412,,,
5085,2064,524.324,17.359,276581,-0.005393279,0.000171184,group1,-0.006060747,,,
5091,2064,307.338,17.883,276653,-0.004487869,0.000481264,group1,-0.006203677,,,
5093,2064,570.877,18.191,276775,-0.007069123,0.000175432,group1,-0.006287458,,,
5095,2064,574.283,18.761,276807,-0.008787981,0.000237985,group1,-0.006443079,,,
5096,2064,525.266,19.336,276831,-0.006794613,0.000240858,group1,-0.006599628,,,
5097,2064,554.585,19.861,276870,-0.007856804,0.00024227,group1,-0.006742816,,,
5101,2064,186.911,20.416,276935,-0.006801865,0.000465312,group1,-0.006893996,,y=-0.0013287-0.0002726*iLumi,
5102,2064,544.558,20.603,276940,-0.007629868,0.000315819,group1,-0.006944948,,,
5105,2064,730.9,21.147,277069,-0.004812575,0.002026761,group1,-0.007093394,,,
5106,2064,497.154,21.878,277093,-0.007570596,0.000260354,group1,-0.007292638,,,
5107,2064,199.948,22.375,277126,-0.005472852,0.002071809,group1,-0.007428162,,,
5108,2064,153.519,22.575,277148,-0.022893191,0.016737188,group1,-0.007482668,,,
5109,2064,408.612,22.729,277166,-0.009771949,0.000219189,group1,-0.007524517,,,
5111,2064,483.552,23.176,277194,-0.010251155,0.000240108,group1,-0.007646477,,,
5116,2064,172.579,23.785,277305,-0.007344632,0.001006136,group2,-0.005,,,
5117,2064,72.877,23.958,277420,0.032417179,0.009942793,group2,-0.005,,,
5151,578,58.521,24.040,277981,0.004446166,0.000366726,group2,-0.005,,,
5154,2064,378.191,24.098,278017,-0.005078817,0.000435641,group2,-0.005,,,
5161,2064,349.225,24.476,278167,-0.005677562,0.000150384,group2,-0.005,,,
5163,2064,363.16,24.868,278239,-0.004910349,0.001891575,group2,-0.005,,,y=-.005
5173,2064,447.036,25.291,278308,-0.005815074,0.000431714,group2,-0.005,,,
5179,2064,154.376,25.739,278315,0.004176818,0.001863418,group2,-0.005,,,
5181,2064,381.474,25.893,278345,-0.061797146,0.020223042,group2,-0.005,,,
5183,2161,321.061,26.274,278406,-0.006012069,0.000326897,group2,-0.005,,,
5187,2160,302.705,26.595,278509,-0.005786073,0.000753725,group2,-0.005,,,
5197,2160,185.414,26.904,278769,-0.005421423,0.000443792,group2,-0.005,,,
5198,2160,455.192,27.089,278801,-0.004923436,0.000373179,group2,-0.005,,,
5199,2208,527.14,27.545,278819,-0.006754134,0.000230884,group2,-0.005,,,
5205,1728,231.249,28.072,278873,-0.004185552,0.000276604,group2,-0.005,,,
5206,2208,109.598,28.303,278923,-0.002587329,0.000872371,group2,-0.005,,,
5211,2208,438.907,28.591,278969,-0.004441332,0.000134464,group2,-0.005,,,
5219,2028,175.294,29.069,279024,-0.003994266,0.000337035,group2,-0.005,,,
5229,2208,219.715,29.364,279115,-0.001887209,0.000417567,group2,-0.005,,,
5251,2208,249.42,29.593,279588,-0.004437735,0.000429106,group2,-0.005,,,
5253,2208,453.045,29.842,279653,-0.006286063,0.000162457,group2,-0.005,,,
5254,2208,220.182,30.295,279667,-0.004067045,0.000537779,group2,-0.005,,,
5256,2208,100.125,30.516,279681,-0.008262705,0.003936332,group3,-0.006149887,,,
5257,2208,436.122,30.616,279691,-0.006695355,0.000219091,group3,-0.006239789,,,
5258,2208,421.897,31.052,279715,-0.007090516,0.000392611,group3,-0.006631383,,,
5261,2208,549.631,31.474,279760,-0.007335984,0.000161841,group3,-0.007010205,,,
5264,2208,236.373,32.023,279794,-0.008899729,0.00036264,group3,-0.007503718,,,
